,sigma,env: rf,env: S0
2021-05-14,0.006301702324410011,3.968056356828953e-07,4173.85
2021-05-21,0.007149853035098208,0.0,4155.86
2021-05-28,0.005934247382062143,3.968056356828953e-07,4204.11
2021-06-04,0.005931186875664215,3.968056356828953e-07,4229.89
2021-06-11,0.005852344907512516,3.968056356828953e-07,4247.44
2021-06-18,0.006497485319443704,1.98363308512306e-06,4166.45
2021-06-25,0.004999460625405997,1.98363308512306e-06,4280.7
2021-07-02,0.004982884437256403,1.98363308512306e-06,4352.34
2021-07-09,0.004982679343873084,2.3802412136841866e-06,4369.55
2021-07-16,0.004982452479239044,1.98363308512306e-06,4327.16
2021-07-23,0.004984724696979168,1.98363308512306e-06,4411.79
2021-07-30,0.004984476451299861,1.98363308512306e-06,4395.26
2021-08-06,0.004981797192631061,1.5869854708139286e-06,4436.52
2021-08-13,0.004981464467018811,1.5869854708139286e-06,4468.0
2021-08-20,0.004981337991390989,1.5869854708139286e-06,4441.67
2021-08-27,0.004981021447034761,1.5869854708139286e-06,4509.37
2021-09-03,0.004980027573897627,1.5869854708139286e-06,4535.43
2021-09-10,0.006829406516196353,2.3802412136841866e-06,4458.58
2021-09-17,0.0068261876497391575,2.3802412136841866e-06,4432.99
2021-09-24,0.006585830198399329,2.3802412136841866e-06,4455.48
2021-10-01,0.0077306433616374445,3.1733390453148047e-06,4357.04
2021-10-08,0.006974348754280673,7.935717540874521e-07,4391.34
2021-10-15,0.00565955593749955,1.5869854708139286e-06,4471.37
2021-10-22,0.005659562142328608,1.98363308512306e-06,4544.9
2021-10-29,0.005659403114939943,2.3802412136841866e-06,4605.38
2021-11-05,0.005655458824109337,1.98363308512306e-06,4697.53
2021-11-12,0.005655466863988725,1.98363308512306e-06,4682.85
2021-11-19,0.005653907996892329,4.362689847159373e-06,4697.96
2021-11-26,0.010030148926060606,4.362689847159373e-06,4594.62
2021-12-03,0.010789833370837436,1.5869854708139286e-06,4538.43
2021-12-10,0.006974278535472931,1.1902983632072761e-06,4712.02
2021-12-17,0.008727365043253204,1.1902983632072761e-06,4620.64
2021-12-31,0.006636446650098225,2.3802412136841866e-06,4766.18
2022-01-07,0.006742787922437495,1.98363308512306e-06,4677.03
2022-01-14,0.007427332730174103,1.98363308512306e-06,4662.85
2022-01-21,0.007427332730174103,1.98363308512306e-06,4397.94
2022-01-28,0.009790143776980686,1.5869854708139286e-06,4431.85
2022-02-04,0.008993952970857626,1.98363308512306e-06,4500.53
2022-02-11,0.011098631364874679,1.1902983632072761e-06,4418.64
2022-02-18,0.011573201484091177,1.1902983632072761e-06,4348.87
2022-02-25,0.010762255560628995,1.1902983632072761e-06,4384.65
2022-03-04,0.012446338212323441,5.947938814809817e-06,4328.87
2022-03-11,0.013072351090047058,6.740326825349641e-06,4204.31
2022-03-18,0.009605091127001768,7.532557270595319e-06,4463.12
2022-03-25,0.008218209793546889,6.740326825349641e-06,4543.06
2022-04-01,0.007282122997029503,5.947938814809817e-06,4545.86
2022-04-08,0.008248463798636403,7.92861342602258e-06,4488.28
2022-04-22,0.011030210764163665,1.8212278277252025e-05,4271.78
2022-04-29,0.014131125993316245,1.4655551191511407e-05,4131.93
2022-05-06,0.011954770830014535,1.900223106310328e-05,4123.34
2022-05-13,0.011952054978316886,2.6498981064992932e-05,4023.89
2022-05-20,0.012196552729962899,2.492188974012599e-05,3901.36
2022-05-27,0.011405448352030364,2.7287292685862496e-05,4158.24
2022-06-03,0.011075615678409206,3.4375087153648565e-05,4108.54
2022-06-10,0.01291087573055497,4.341340280400452e-05,3900.86
2022-06-17,0.013078113998339962,4.5375543826331466e-05,3674.84
2022-06-24,0.011291191688057029,4.6944561201023305e-05,3911.74
2022-07-01,0.011282059799121346,5.008074350687508e-05,3825.33
2022-07-08,0.01087603118091211,6.18194899655311e-05,3899.38
2022-07-15,0.010084704174178952,7.780671582890974e-05,3863.16
2022-07-22,0.009429071484881296,8.441679811777014e-05,3961.63
2022-07-29,0.008662976467052812,8.713541254601331e-05,4130.29
2022-08-05,0.008611913137685405,8.6747152605815e-05,4145.19
2022-08-12,0.007821524736058936,8.75236346555841e-05,4280.15
