,v_0,theta,kappa,sigma_v,rho,lam,muj,sigj,env: rf,env: S0
2022-09-09,0.0004798229438871009,0.0005546329636331362,0.015174840811662618,0.029946385994299857,-0.014180969335703543,0.0032644521488219553,0.0013535166365015714,0.0017197904719276273,0.00010070073002266255,4067.36
2022-09-16,0.0004801413111630805,0.0005545300898276962,0.015172495359405368,0.02994734012375312,-0.010692606443882419,0.004434352581550957,0.0030087924781068195,0.00048504867338949187,0.00010495459470871715,3873.33
2022-09-23,0.0004802007970354388,0.0005549492832832124,0.015174889941540447,0.029946450256306285,-0.0010938795815227291,0.016679398534634432,0.006244361422441245,0.0022449896354228547,0.0001045680673463778,3693.23
2022-09-30,0.0004799901749016515,0.0005552718045770017,0.01436067271653706,0.02844383503071947,0.06968381172467791,0.11126296442689641,0.012882488854054876,0.0013535042276801267,0.00010920392277746771,3585.62
2022-10-07,0.00048007413957716643,0.0005552443527020259,0.01435942780616483,0.02791592181851087,0.11686945628484606,0.1114262857350959,0.006710284330247024,0.0011365107399229548,0.00011845948390121208,3639.66
2022-10-14,0.0004807294409146346,0.000555484250386004,0.014364672295108502,0.027905655318960037,0.15700662694750694,0.2162426715505296,0.007227951786517163,0.0001696996429879077,0.0001288463560800146,3583.07
2022-10-21,0.00048069124952017996,0.0005553749937042285,0.014365110847511166,0.027905030775388945,0.04180771529667108,0.2738470969238133,0.004380210452277736,0.00011774966703738706,0.00013843974798288805,3752.75
2022-10-28,0.00048098016072869933,0.0005555600462739727,0.014365927138720898,0.027854155586824116,-0.07387490474638406,0.063394752930071,2.8346976208466314e-05,2.236159869545382e-05,0.00014609786618535736,3901.06
2022-11-04,0.0004809800221716576,0.0005555599800709316,0.014366051356945948,0.02785415553046727,-0.07387490472612258,0.06339475292999382,2.8346970731734334e-05,2.2361598695292955e-05,0.00014533271634609157,3770.55
2022-11-11,0.00047952293102976405,0.0005560824806380905,0.01436494880559987,0.027859326561767848,-0.07370290796653392,0.06339253835330473,-0.00014120578926869393,2.2356642075758014e-05,0.0001445674195510449,3992.93
2022-11-18,0.0004773080376179302,0.0005561698129371204,0.014339154798319619,0.027994460064694537,-0.07071573858451635,0.06338278051555722,0.00012379639466771254,2.2327751193196224e-05,0.0001529776110411607,3965.34
2022-11-25,0.0004773090625748052,0.0005561711822818242,0.014339175494127053,0.027994462521511346,-0.0707157385839657,0.06338278051555661,0.00012379639424702,2.2327751193192466e-05,0.0001617511456717402,4026.12
2022-12-02,0.0004766380236917224,0.0005559252015612265,0.014339818954417844,0.02799468859860539,-0.07055974532231085,0.06338211771600587,-3.559633371049214e-05,2.2324784333771513e-05,0.0001522137812646207,4071.7
2022-12-09,0.0004755805098371375,0.0005561530437995939,0.014337837218008406,0.028002015180838828,-0.05743408242569531,0.009226368829342866,-0.00037529077180858354,1.1748174619750217e-05,0.0001483924345326848,3934.38
2022-12-16,0.0004744391137058595,0.0005560161991382863,0.014336076451983811,0.028004816197130612,-0.05669430281171532,0.009225362280145925,-9.85990035257231e-07,1.1745511233086621e-05,0.00015335947102901315,3852.36
2022-12-23,0.0004734071405744782,0.000555982139514663,0.014335899828837033,0.028008306617876164,-0.05250936361224161,0.009224923613344068,-1.1927164074268137e-05,1.1743136047275244e-05,0.00014801009822229538,3844.82
2022-12-30,0.0004737631478007285,0.00055540886984017,0.014335617432374355,0.028008079787362177,-0.054714167055007416,0.009217645782037745,-0.0012592538441033245,1.1719156805132713e-05,0.00016022670055493293,3839.5
2023-01-06,0.0004696988829979859,0.0005559985529106686,0.014331917196736366,0.02802654159671666,-0.05321001802954252,0.009216315460416558,3.92343496099153e-05,1.1717569119177652e-05,0.0001678431007052783,3895.08
2023-01-13,0.0004675172800149597,0.0005558792037997873,0.014331798264882015,0.02802962119242733,-0.05158376356186816,0.009215441904317214,0.00045606476402381926,1.170926298336357e-05,0.00017772270657090417,3999.09
2023-01-20,0.0004675172800149597,0.0005558792037997873,0.014331798264882015,0.02802962119242733,-0.05158376356186816,0.009215441904317214,0.00045606476402381926,1.170926298336357e-05,0.00018189517720434978,3972.61
2023-01-27,0.00046628986010065644,0.0005547198044628273,0.014332593220719846,0.02803246981430131,-0.05159671312638899,0.009214889464290112,-5.132811000303512e-07,1.170627824285069e-05,0.00017886108646547605,4070.56
2023-02-03,0.00046445410816674194,0.0005539001264054761,0.014332307990644864,0.028036771950382535,-0.05439700062738612,0.004371843063217222,0.0008094526577960838,1.6169214711176366e-06,0.00017886108646547605,4136.48
2023-02-10,0.0004635889980825063,0.0005538456622620452,0.0143334932824811,0.028039173016094376,-0.05458671280480287,0.004371596846994358,4.087362154646759e-05,1.6168944592940353e-06,0.0001807576638885866,4090.46
2023-02-17,0.00046359523080026976,0.000553860079809734,0.0143334921587381,0.028039172750848666,-0.054586712789030156,0.004371596846992711,4.08736161072434e-05,1.6168944592930281e-06,0.00017999914123811855,4079.09
2023-02-24,0.00046359842104620443,0.0005538611269870167,0.014333492157820387,0.02803917274615073,-0.05458671278926203,0.004371596846992696,4.087361607641271e-05,1.6168944592930222e-06,0.000181516042177865,3970.04
2023-03-03,0.000462836574118869,0.0005530847554277707,0.014335047646753992,0.02803775401100061,-0.0546659093592892,0.004371501234222781,-0.0001233033164128999,1.6168421362080958e-06,0.00018416923014275,4045.64
2023-03-10,0.00046259045586828114,0.000552854864489779,0.014336338572534099,0.028025212600043706,-0.0608709779439729,0.004355311818903289,0.005597091070221489,1.6160454754620255e-06,0.00018644198605977103,3861.59
2023-03-17,0.000462461969319474,0.0005528406775523011,0.014335376877544135,0.02802534979497309,-0.06105460685697647,0.0038874589202637106,0.002912148049634538,1.7313425863837338e-06,0.0001674626262520018,3916.64
2023-03-24,0.00046158657029547317,0.0005527921683211315,0.014336048581032889,0.028017370518286972,-0.06193964046081057,0.003885163632892165,0.00012319332535748985,1.731302084228728e-06,0.00016632098486990543,3970.99
2023-03-31,0.00046091783042391933,0.000553527390169525,0.014335919401234534,0.028015581622223264,-0.06138063665972107,0.0038847833447391957,-0.0009520950488540185,1.7312006126416458e-06,0.00018379031143078706,4109.31
2023-04-14,0.0004594835847442896,0.0005540057367350157,0.014339125420443539,0.028015216282127563,-0.061817286276421704,0.0038842658638467468,0.00036681166491560064,1.7311804869789435e-06,0.00016670156834108774,4137.64
2023-04-21,0.00045899682257000834,0.0005539873426402066,0.014340918190025644,0.027985903576816806,-0.061820652318046905,0.003884265291664316,0.0003629460003543247,1.7311803956666062e-06,0.00013115087748549747,4133.52
2023-04-28,0.00045913221388460486,0.0005539872898551046,0.014340984051382162,0.027985903271445275,-0.0618206523386982,0.0038842652916620613,0.0003629459854833807,1.7311803956662564e-06,0.00016898430614076254,4169.48
2023-05-05,0.0004551791384289827,0.0005509997288190213,0.0143482977584018,0.027954906991361855,-0.06487295139070431,0.0038824472381003574,0.00037633514180735535,1.73111691337517e-06,0.00021587045473081545,4136.25
2023-05-12,0.00045517903975382165,0.0005511950521951039,0.014348318344368685,0.02795491053128192,-0.06487295125605487,0.0038824472380917675,0.0003763350754389225,1.731116913373716e-06,0.00022338133879551414,4124.08
