,sigma,lam,muj,sigj,env: rf,env: S0
2021-12-31,0.003848273995435898,0.05087532513330021,0.0015649746283356574,0.02361991514413424,2.3802412136841866e-06,4766.18
2022-01-07,0.004206209740402595,0.04974920227330241,0.0008186794575098789,0.026053988990354382,1.98363308512306e-06,4677.03
2022-01-14,0.005454295794534427,0.053558240568054166,0.00033868259095367915,0.024981839429114343,1.98363308512306e-06,4662.85
2022-01-21,0.010100613078715785,0.05370853003916476,-0.001399138501239739,0.02302305202444889,1.98363308512306e-06,4397.94
2022-01-28,0.0074056644796389026,0.05808732900930642,0.0015441675610962193,0.029321947261706102,1.5869854708139286e-06,4431.85
2022-02-04,0.006613375094121345,0.055806114971223994,0.0008746476673371659,0.025272685865420867,1.98363308512306e-06,4500.53
2022-02-11,0.008453323912874127,0.05663911214835867,-0.010581458061528526,0.02971890621916701,1.1902983632072761e-06,4418.64
2022-02-18,0.00907509028098358,0.058048075279945655,-0.019118406546918914,0.023985964158122486,1.1902983632072761e-06,4348.87
2022-02-25,0.009322089152535273,0.05595875843648137,0.002962505255157821,0.02298725890502288,1.1902983632072761e-06,4384.65
2022-03-04,0.008816688030483272,0.06275471049188806,-0.011466148214291143,0.034169441344159265,5.947938814809817e-06,4328.87
2022-03-11,0.009583360458458218,0.06173078224135521,-0.013060843527471193,0.0342079557576105,6.740326825349641e-06,4204.31
2022-03-18,0.0067361888736608,0.056640308579401825,0.0013874570220681706,0.02847420959969214,7.532557270595319e-06,4463.12
2022-03-25,0.005413296551141604,0.056548356718445554,0.0009184376126492945,0.028188492976895914,6.740326825349641e-06,4543.06
2022-04-01,0.004415257200488639,0.05366346456566317,0.0026078412352364883,0.026938434186230986,5.947938814809817e-06,4545.86
2022-04-08,0.0061346865349048395,0.05283648142769753,-0.0008899536629904894,0.02564371305614642,7.92861342602258e-06,4488.28
2022-04-22,0.008387478390954576,0.05828579402285721,-0.007212462020803851,0.029412337108631965,1.8212278277252025e-05,4271.78
2022-04-29,0.00959372158754706,0.07407156908049875,-0.036297970674695194,0.01255139623004577,1.4655551191511407e-05,4131.93
2022-05-06,0.008914048237274088,0.06510032722882535,0.015477228178368335,0.027204582308151353,1.900223106310328e-05,4123.34
2022-05-13,0.00790462209263468,0.0652848056015534,0.004673833609754183,0.03566907516438486,2.6498981064992932e-05,4023.89
2022-05-20,0.009065205493975369,0.06466747771437935,0.005705614037900976,0.03329007673282503,2.492188974012599e-05,3901.36
2022-05-27,0.008389326148032217,0.06329972727025958,0.004305361794598095,0.03136803273236925,2.7287292685862496e-05,4158.24
2022-06-03,0.00797813981364802,0.06000520403673753,0.0005715380311533647,0.03219105744917482,3.4375087153648565e-05,4108.54
2022-06-10,0.010826937367651064,0.06060484588526233,-0.0006176152438552888,0.028765956790296143,4.341340280400452e-05,3900.86
2022-06-17,0.00987153185382793,0.06409598209241063,0.004694957930602684,0.03460667333241199,4.5375543826331466e-05,3674.84
2022-06-24,0.0077250369031570945,0.06369285398448292,0.0022201123437706376,0.03250507752192706,4.6944561201023305e-05,3911.74
2022-07-01,0.007224037392744025,0.0641211294456971,0.004400846716322386,0.03448858447647504,5.008074350687508e-05,3825.33
2022-07-08,0.008713965923447706,0.05754040288148042,0.0005322079367087054,0.027343342982464363,6.18194899655311e-05,3899.38
2022-07-15,0.0063678904373705315,0.062420204318968234,0.001649418933662877,0.032799280045470634,7.780671582890974e-05,3863.16
2022-07-22,0.006770659487888844,0.0600090149425053,0.0019275388196092172,0.029279106462396946,8.441679811777014e-05,3961.63
2022-07-29,0.005355698835820429,0.05598505060130741,0.0033690993822411397,0.029121936172467548,8.713541254601331e-05,4130.29
2022-08-05,0.0056457960613769806,0.05750046304856596,0.005616057200276321,0.028545987720404134,8.6747152605815e-05,4145.19
2022-08-12,0.0050982812034237055,0.055334183443434444,0.0026404054921473456,0.027734031772686584,8.75236346555841e-05,4280.15
2022-08-19,0.0060334384503878975,0.05670321718001681,0.0049600280497745786,0.02520630972338969,8.75236346555841e-05,4228.48
2022-08-26,0.007011254231018298,0.06072207328013151,-0.0009717820359420769,0.03211351453563868,9.37300495240656e-05,4057.66
2022-09-02,0.008287736013628475,0.05956054629032619,-0.002581219408589398,0.030893139445469744,9.760415525894572e-05,3924.26
2022-09-09,0.0064469628878668205,0.060300589437343566,0.0015654134648954547,0.0291758106501967,0.00010070073002266255,4067.36
