,sigma,lam,muj,sigj,env: rf,env: S0
2020-06-12,0.013509307793951092,1.3167521774377502e-09,1.996417402634512e-11,1.562203855776234e-11,5.551685702931408e-06,3041.31
2020-06-19,0.011755662118873564,8.069738972593239e-10,6.447969843335894e-11,4.99999999999961e-11,5.155393176359269e-06,3097.74
2020-06-26,0.014508422171027557,2.535957922180389e-09,-2.0953036909244598e-11,7.812499999999933e-13,4.759061227099792e-06,3009.05
2020-07-10,0.010989712421218554,9.103907353918073e-10,1.1813716027033545e-10,4.999999999999604e-11,3.966279028766451e-06,3185.04
2020-07-17,0.009802320540939909,9.104015637603454e-10,1.1789354541290097e-10,9.999999999996717e-11,4.362689847159373e-06,3224.73
2020-07-24,0.00980135017393805,9.104019072455598e-10,1.1789301063170885e-10,9.999999999999996e-11,3.966279028766451e-06,3215.63
2020-07-31,0.009406884178530299,9.147427401318315e-10,1.1774780287166583e-10,9.99999999999855e-11,3.5698287639274184e-06,3271.12
2020-08-07,0.009019709581408289,9.148336245987724e-10,1.1762117818662192e-10,1.0000010779864078e-10,3.1733390453148047e-06,3351.28
2020-08-14,0.008661192613860273,9.148350835048972e-10,1.173987060074375e-10,1.0000010779862993e-10,3.5698287639274184e-06,3372.85
2020-08-21,0.008657042663979266,9.148987426581145e-10,1.1739698216844195e-10,1.0000010779862119e-10,2.77680986426887e-06,3397.16
2020-08-28,0.008638252667037896,9.148987944302884e-10,1.1739153449221428e-10,1.0002539929658767e-10,3.5698287639274184e-06,3508.01
2020-09-04,0.010801456062782324,2.5768857325114618e-09,-5.328022795298972e-11,5.90281673125841e-10,3.5698287639274184e-06,3426.96
2020-09-11,0.010787136944368484,2.5768857325081406e-09,-5.325858765247127e-11,5.902816731255164e-10,3.966279028766451e-06,3340.97
2020-09-18,0.011441496546302318,1.3935794955167443e-09,1.5143894579728763e-09,2.523425259456944e-14,3.5698287639274184e-06,3319.47
2020-09-25,0.011433879954426233,1.3935795046934508e-09,1.5143102876824769e-09,9.999999999999943e-11,3.1733390453148047e-06,3298.46
2020-10-02,0.012137959105928565,4.611281449371426e-09,1.280363225897039e-10,6.2719373154887785e-12,3.966279028766451e-06,3348.42
2020-10-09,0.010414654820774189,2.2246049938715796e-09,1.250898996358448e-11,2.4187913371441907e-10,3.966279028766451e-06,3477.14
2020-10-16,0.010414656591233404,2.2246056949864754e-09,1.2508984647858217e-11,2.4187915421102226e-10,3.5698287639274184e-06,3483.81
2020-10-23,0.01041003922251468,2.2246258441003915e-09,1.2512831652961312e-11,2.418792910514913e-10,3.1733390453148047e-06,3465.39
2020-10-30,0.016533149328956182,2.615454870968158e-09,1.644389999527949e-11,1.2094864487893547e-10,3.1733390453148047e-06,3269.96
2020-11-06,0.010241536213833566,1.5939466869451866e-09,4.998608144086228e-10,6.047432243946352e-11,3.966279028766451e-06,3509.44
2020-11-13,0.008626321924399638,6.253395455558865e-10,-3.259198420301121e-11,4.9999999999999957e-11,3.966279028766451e-06,3585.15
2020-11-20,0.008576348275388673,6.254472774770193e-10,-3.256945319843209e-11,1.0000000020711281e-10,3.5698287639274184e-06,3557.54
2020-11-27,0.00857226683539641,6.254678828744275e-10,-3.25691563137411e-11,1.0000009579972576e-10,3.5698287639274184e-06,3638.35
2020-12-04,0.008167236748864935,6.258151947591526e-10,-3.259921502885381e-11,1.0000166401996479e-10,2.77680986426887e-06,3699.12
2020-12-11,0.008165527792540065,6.258153244411873e-10,-3.259879849372617e-11,1.0000166401996465e-10,3.1733390453148047e-06,3663.46
