,sigma,theta,nu,env: rf,env: S0
2020-11-27,0.010727406608485961,2.328359814363586e-05,0.772371540531796,3.5698287639274184e-06,3638.35
2020-12-04,0.009038397380280597,7.880908690687595e-06,0.7721586636687585,2.77680986426887e-06,3699.12
2020-12-11,0.009492400068310178,-3.094365204789032e-05,0.7722188539523034,3.1733390453148047e-06,3663.46
2020-12-18,0.009221694362670221,-0.00034316404178165113,0.7720845107664029,3.1733390453148047e-06,3709.41
2021-01-08,0.014772626262924412,-2.77145459650245e-05,0.7724326165434262,3.1733390453148047e-06,3824.68
2021-01-15,0.008541366574074855,0.0003245570145252654,0.7722323434737067,3.1733390453148047e-06,3768.25
2021-01-22,0.00877693277483453,0.00012162587145520047,0.7721926483548068,2.77680986426887e-06,3841.47
2021-01-29,0.010775354326449257,-0.006424086651898628,0.7665477298770726,2.77680986426887e-06,3714.24
2021-02-05,0.009453135774839801,4.685459290419831e-05,0.7721932635021541,7.935717540874521e-07,3886.83
2021-02-12,0.008982528005335043,7.970367799807048e-05,0.7722746562381696,1.1902983632072761e-06,3934.83
2021-02-19,0.008599462723752586,0.0002880527613280091,0.772268676757722,1.1902983632072761e-06,3906.71
2021-02-26,0.009919761216057307,-0.0026534285879817126,0.7698417302831061,1.5869854708139286e-06,3811.15
2021-03-05,0.009422306697685325,0.00035304628579233336,0.7722756834391318,1.5869854708139286e-06,3841.94
2021-03-12,0.00884146647675571,6.156290494946814e-05,0.772313757763587,1.1902983632072761e-06,3943.34
2021-03-19,0.007918816914510688,0.00022107018320046394,0.7723300938105254,3.968056356828953e-07,3913.1
2021-03-26,0.012423252748792496,-0.00012278635073035082,0.7725275628588136,7.935717540874521e-07,3974.54
2021-04-09,0.006892439231587872,2.145671533394345e-05,0.7723959442567027,7.935717540874521e-07,4128.8
2021-04-16,0.006822252032836523,-5.3183261658102604e-05,0.7723425349524651,7.935717540874521e-07,4185.47
2021-04-23,0.00867412157408322,0.00013613461642660713,0.7724838045273992,3.968056356828953e-07,4180.17
2021-04-30,0.007553198708075486,-3.1511658814568116e-05,0.7722443923522364,3.968056356828953e-07,4181.17
2021-05-07,0.007210867478516171,4.5991834491708096e-05,0.7724034888463582,3.968056356828953e-07,4232.6
2021-05-14,0.008785884310027914,6.794179161941987e-05,0.7714370622660685,3.968056356828953e-07,4173.85
2021-05-21,0.0077246713865299944,-4.622334077008175e-05,0.7722849180592161,0.0,4155.86
2021-05-28,0.006473984493013113,0.00016337292815610274,0.7727228659240943,3.968056356828953e-07,4204.11
2021-06-04,0.006928954922720542,8.847485914752425e-05,0.7724674763765554,3.968056356828953e-07,4229.89
2021-06-11,0.0069966571064574564,2.2687115914565362e-05,0.7724845820221703,3.968056356828953e-07,4247.44
2021-06-18,0.006968371188407012,-5.433599744766623e-05,0.7723725063152386,1.98363308512306e-06,4166.45
2021-06-25,0.011583146443930914,-0.00013265062502817573,0.7727109970119395,1.98363308512306e-06,4280.7
2021-07-02,0.007594963540814101,-7.769366550790528e-05,0.7725669809865495,1.98363308512306e-06,4352.34
2021-07-09,0.007517787631695897,-0.00017376723123269637,0.772523955449228,2.3802412136841866e-06,4369.55
2021-07-16,0.006885122694074783,0.00014342188759162812,0.7722635091902362,1.98363308512306e-06,4327.16
2021-07-23,0.007716245219922741,-2.1215789067640484e-05,0.7725439687146463,1.98363308512306e-06,4411.79
2021-07-30,0.007522358131535929,4.974697511442561e-05,0.7721858953744725,1.98363308512306e-06,4395.26
2021-08-06,0.006878938674130544,-7.593421271617343e-06,0.7726468320621498,1.5869854708139286e-06,4436.52
2021-08-13,0.006726564315204459,-6.251613068300152e-07,0.7726304614754098,1.5869854708139286e-06,4468.0
2021-08-20,0.0069574731835191075,0.00018243539801933385,0.7725993520836673,1.5869854708139286e-06,4441.67
2021-08-27,0.006775391302434427,-9.30214437180245e-05,0.7727186715381992,1.5869854708139286e-06,4509.37
2021-09-03,0.006808844452957657,-5.12143961829044e-05,0.7725384933408885,1.5869854708139286e-06,4535.43
2021-09-10,0.007697260022014303,0.000166675738449523,0.7725300884506966,2.3802412136841866e-06,4458.58
2021-09-17,0.006965271583262633,0.0001651820741704745,0.7724689386748592,2.3802412136841866e-06,4432.99
2021-09-24,0.007382079313170431,3.487157767072438e-05,0.772378246413097,2.3802412136841866e-06,4455.48
2021-10-01,0.008332356128784892,-0.00012611155115975725,0.7721233837150314,3.1733390453148047e-06,4357.04
2021-10-08,0.007321706571228809,8.897502394874672e-05,0.7723294196087969,7.935717540874521e-07,4391.34
2021-10-15,0.006879093184329054,8.161309367756333e-06,0.7725741677913577,1.5869854708139286e-06,4471.37
2021-10-22,0.00731617956702688,1.3116764679407559e-05,0.7725784823400739,1.98363308512306e-06,4544.9
2021-10-29,0.00871855006678881,-6.833429487242993e-05,0.772665836109023,2.3802412136841866e-06,4605.38
2021-11-05,0.011307109791526885,-1.9177530155569533e-05,0.7727831452580401,1.98363308512306e-06,4697.53
2021-11-12,0.0068230858111980475,-5.803153033967406e-05,0.7726525933789049,1.98363308512306e-06,4682.85
2021-11-19,0.0070864889032341265,-8.528690832788046e-06,0.7724169044561495,4.362689847159373e-06,4697.96
2021-11-26,0.008805268836799171,-0.005473800063790774,0.7521899485920753,4.362689847159373e-06,4594.62
2021-12-03,0.010151042998331913,-0.004183016933460357,0.7297521612428168,1.5869854708139286e-06,4538.43
2021-12-10,0.007293191660971065,0.00010114920666301864,0.7722653359879185,1.1902983632072761e-06,4712.02
2021-12-17,0.008222846926734207,-0.0033508049319147153,0.7540086093332593,1.1902983632072761e-06,4620.64
2021-12-31,0.008627007428209942,4.720323838068695e-05,0.7724252901967763,2.3802412136841866e-06,4766.18
2022-01-07,0.007671511035943589,1.3145159614426269e-05,0.771967533355682,1.98363308512306e-06,4677.03
