,v_0,theta,kappa,sigma_v,rho,lam,muj,sigj,env: rf,env: S0
2020-04-03,0.012203390761808802,0.00038726325441873125,2.3081653136180464,4.051138382824139,-0.7082615085441728,0.15173152045187938,0.015594303943888102,0.04319764328029881,3.5698287639274184e-06,2488.65
2020-04-17,0.012544091445913558,0.0011713406895134616,1.6085373636092757,4.785302851892643,-0.6794209303643333,0.027192262582498,-0.003842892461564153,0.07342988765840969,4.759061227099792e-06,2874.56
2020-04-24,0.002832091578121142,0.0013712539532939828,1.8352150510009657,4.564341395614513,-0.6384920972804264,0.014805416615298014,0.03862374435787612,0.06031075639124075,3.966279028766451e-06,2836.74
2020-05-01,0.011731953755164793,0.0006857708022243672,1.886284694222035,4.498524249163443,-0.6558014974826357,0.043824103986084835,-0.05056885083565403,0.029154309118601777,3.966279028766451e-06,2830.71
2020-05-08,0.004227817277623971,0.0017467010611947047,1.6202757052633863,4.901129445703315,-0.8175583931351952,0.005135465818822589,0.03926995915667951,0.0730495781611917,3.966279028766451e-06,2929.8
2020-05-15,0.0017809846772705756,0.0009673436693577083,1.7644556112303695,4.4071299683702545,-0.6321724749327821,0.013796181021106206,0.029178638075597924,0.050312483506046675,3.5698287639274184e-06,2863.7
2020-05-22,0.004651757472603777,0.0021421009078229753,1.2131351085512836,5.035065207960644,-0.809721574758889,0.005304206536153319,0.043111815463352125,0.0819284554126185,3.5698287639274184e-06,2955.45
2020-05-29,0.00444218941630052,0.0018591665749841866,1.4651557777463982,4.734475441919744,-0.8132406209857352,0.004615633262851724,0.03022812610827041,0.0847002020898924,5.155393176359269e-06,3044.31
2020-06-05,0.0026048263494310832,0.0013151289952875746,1.3150695871686509,4.677611635605219,-0.8210732421100141,0.004618410059166846,0.06365961099370786,0.04850093833188522,5.155393176359269e-06,3193.93
2020-06-12,0.010078423984582207,0.0022680826642523266,1.332868423024077,4.910569812938118,-0.6869632683787139,0.0048643689284978316,0.048705109256275046,0.07883969831020703,5.551685702931408e-06,3041.31
2020-06-19,0.005878440359549261,0.0008496980777452227,1.6518406619212898,5.05558096221642,-0.7434027912166732,0.0108637738915954,0.07609881857508842,0.058184336141071526,5.155393176359269e-06,3097.74
2020-06-26,0.011796357767597621,0.0006667464582903131,1.7610596911623533,4.297804285974011,-0.7297292778226948,0.03091327396650984,-0.0038114260232990443,0.07124853160902082,4.759061227099792e-06,3009.05
2020-07-10,0.004554352107696107,0.0022029726856012386,1.1735159734780058,4.795337908526341,-0.8350695897561391,0.00453694770128701,0.04642068017816299,0.0765891197413906,3.966279028766451e-06,3185.04
2020-07-17,0.012031716004739304,0.001313042140344837,1.3649136169328064,5.3420863569757815,-0.7918502827197125,0.007717932380361396,0.05277421968239472,0.05378809888947935,4.362689847159373e-06,3224.73
2020-07-24,0.002138090046705977,0.0011089679762661306,1.179338871402806,5.013181820814388,-0.6363952484528385,0.012085852231544451,0.039625429524322985,0.05539174043326861,3.966279028766451e-06,3215.63
2020-07-31,0.0031920159512120105,0.0015322341167963696,1.4424445738438167,5.0009889635560745,-0.8238380588333682,0.004290012093587507,0.039846239745380395,0.07260355009252802,3.5698287639274184e-06,3271.12
2020-08-07,0.003453402328279271,0.0021440097817111863,1.0574546333625665,4.950434291783189,-0.8457481004927608,0.004146639319779631,0.05424393179879032,0.06529831885383627,3.1733390453148047e-06,3351.28
2020-08-14,0.0014144383709284744,0.0013759196405148987,0.9130038285590445,4.6120569927616275,-0.6384303816843417,0.007562309479471577,0.04104197080610519,0.030319633357486404,3.5698287639274184e-06,3372.85
2020-08-21,0.002089754052676982,0.0010162582480441687,1.8449850499039486,4.98338720051591,-0.8594048793556914,0.0033986695014941695,0.07788256169137055,0.0463274706842666,2.77680986426887e-06,3397.16
