,mu,omega,alpha[1],beta[1]
2021-08-23,0.09691498925561158,0.21671243099671805,0.3506355673027145,0.4378648666200628
2021-08-24,0.09515876394472961,0.21481039704729477,0.3489663329432741,0.4399903952380659
2021-08-25,0.09414723544329659,0.21150811161900337,0.34805772037207333,0.44329494223121735
2021-08-26,0.08824487749774611,0.19633568149203073,0.33177925114837875,0.47376447023662405
2021-08-27,0.09282961906254136,0.13368676636387444,0.25069639742901695,0.6083898256055251
2021-08-30,0.09781176894161475,0.1115023602445115,0.2117272981670345,0.6616511211948418
2021-08-31,0.09950460082428021,0.11304545524899473,0.21138033074275936,0.6560125329292315
2021-09-01,0.10104345026637748,0.12220707524925926,0.22261209558852668,0.6314435607212519
2021-09-02,0.1031067195546764,0.12920460940311676,0.22790635861980793,0.6144140864314364
2021-09-03,0.10423740184351953,0.11979511951212339,0.222742129387749,0.6316149237324551
2021-09-07,0.1017728823153066,0.12995554461650108,0.2357092030572354,0.6051346176421941
2021-09-08,0.10383837663089251,0.12635094710162997,0.2386260557648248,0.607586737362194
2021-09-09,0.09697797491678474,0.12480170430364691,0.23720730586181213,0.6104845817494355
2021-09-10,0.09761904222204879,0.1313065600127452,0.2434887011801381,0.5981226479450619
2021-09-13,0.09631189469734813,0.12520035450789713,0.23721154157323265,0.6097343859185107
2021-09-14,0.09103611236156697,0.12404619606764092,0.23700792890517036,0.6114466669130952
2021-09-15,0.09475103430116627,0.11972181030911165,0.22950483284466716,0.6225975384758262
2021-09-16,0.09528064273039896,0.11469961030452488,0.22109133471548117,0.6339375882932486
2021-09-17,0.09265978135469688,0.1165216734343868,0.21815371636403166,0.6337629824760995
2021-09-20,0.09156711393219995,0.12772071132009621,0.23355560474218365,0.6104441329444991
2021-09-21,0.09141467227998887,0.1263759740138555,0.2205576616112921,0.619307910673848
2021-09-22,0.09408105180402192,0.13280227013084608,0.22356135395974733,0.6056557124234031
2021-09-23,0.10318168147156123,0.13571776999846646,0.22750622226921852,0.6000063736028228
2021-09-24,0.10236632265809383,0.1391830246421975,0.22766701714339227,0.592143331591222
2021-09-27,0.09954943964812914,0.14157638032887596,0.2280761578427074,0.5867619729280045
2021-09-28,0.08862400257851874,0.1300479452222884,0.21695033618340553,0.6225311949227063
2021-09-29,0.08859490285434186,0.1250491389491835,0.2036945713666901,0.6375960527068373
2021-09-30,0.0847927956491306,0.1229952132922487,0.20364213563930064,0.6405911841631242
2021-10-01,0.08602239495693377,0.12392013884762483,0.20284654842102687,0.638731712862671
2021-10-04,0.08388564259037379,0.12439406519580518,0.20508368872809182,0.6366159349880974
2021-10-05,0.0833043891599084,0.12523238741953122,0.20259924553093356,0.6367190746717933
2021-10-06,0.08664678351080968,0.1274925112173935,0.19746516355923424,0.6357326787517045
2021-10-07,0.08612424665911914,0.13028330595119303,0.19840094296202393,0.6305856080166653
2021-10-08,0.0843749677026113,0.13173121053346887,0.19864379747840993,0.6262505540986507
2021-10-11,0.0804156550287016,0.13160632747687698,0.19980160227230145,0.6247913346238746
2021-10-12,0.07545615395449623,0.1353619669777063,0.20190097712280228,0.6165578339494523
2021-10-13,0.07791133095491261,0.13146372841944123,0.20279500266497025,0.619776090354627
2021-10-14,0.08838252617260223,0.1261688683533082,0.18817917494853728,0.6438669594604053
2021-10-15,0.09192948616371167,0.12008746377292252,0.1841697397493763,0.6539570022998641
2021-10-18,0.09473543967550652,0.11312710880171606,0.17613249889343485,0.6677729131000533
2021-10-19,0.09926131740859587,0.12367701799822513,0.18274258502559024,0.6465712652253864
2021-10-20,0.10121232045167759,0.1104387626068769,0.16855947282444297,0.6738471206810756
2021-10-21,0.10352005256667486,0.10680851163678819,0.1646226249388669,0.6784769181224735
2021-10-22,0.10418609728535659,0.10920312163223839,0.1681107111249617,0.667826745223558
2021-10-25,0.1074224383256435,0.11667853402687473,0.1770980803341882,0.6446797351870779
2021-10-26,0.10761348455200276,0.11244435135426996,0.15301758361459028,0.6673233000789034
2021-10-27,0.10620157789618496,0.13723974428492433,0.18747700086695143,0.5956645231578728
2021-10-28,0.1174395547978085,0.1681399194893434,0.22321276717845764,0.519744481054241
2021-10-29,0.11685378628191417,0.16365487880199328,0.21479718178865762,0.5306446180157451
2021-11-01,0.11955962512656436,0.1642537146770958,0.21324449497444056,0.5282193347483671
2021-11-02,0.12003521971794164,0.1632853863395261,0.21004678480463862,0.529038902522476
2021-11-03,0.12213862603324051,0.15992975244286478,0.19823773464434635,0.542013455488378
2021-11-04,0.12251924721120204,0.15640811603653126,0.19014430830494103,0.5523814079003286
