,mu,omega,alpha[1],gamma[1],beta[1]
2022-07-25,0.06398663713123011,0.03780255723612809,0.11547683914853214,0.23529012128987803,0.7565507347419056
2022-07-26,0.06403951569028685,0.03806759597283149,0.11544057806618305,0.23518793021088033,0.7563969358862387
2022-07-27,0.06468474365347891,0.03825288110294611,0.11699803186355527,0.2368622942032501,0.7551976964039806
2022-07-28,0.06503392632965074,0.03846840056044266,0.11639097764500876,0.23656815842415435,0.7553740052595224
2022-07-29,0.065892852054113,0.038587708792421814,0.11655402707845666,0.23593064047891957,0.7552899309887023
2022-08-01,0.06615660985502701,0.03873305900553833,0.11521564814557132,0.23676978121936076,0.7556017316913525
2022-08-02,0.06608351019155369,0.03874824852023589,0.11446401672973743,0.2370796084713255,0.755938050286003
2022-08-03,0.06659227960432602,0.038445002312491226,0.11519505743901687,0.23535287114791556,0.7565249342255571
2022-08-04,0.06656287388336667,0.03822062996510503,0.11428678570996086,0.23590674053392205,0.7570822192988085
2022-08-05,0.06667277583707694,0.03814963260596518,0.11384384813467366,0.23696576688722162,0.7569456895039087
2022-08-08,0.06660631521014726,0.03790621990278199,0.11396734563753255,0.23849146348278802,0.756467748339856
2022-08-09,0.06647430945753374,0.03769119142304539,0.11465181134570868,0.240048787315399,0.7556150275226926
2022-08-10,0.06919286657569573,0.03669707023150629,0.11672900592589334,0.23143591783516343,0.7589480399334324
2022-08-11,0.06943002118483048,0.03665535732793929,0.11658875241360392,0.23392626076606973,0.7580238732383972
2022-08-12,0.07135343831647914,0.037281809326337116,0.1193983269644971,0.22467339221349375,0.7589189119149677
2022-08-15,0.0715288570885577,0.0369194908053332,0.11853795458172588,0.22746012152945572,0.7588417140269935
2022-08-16,0.06966687008270783,0.03749257120469391,0.11408725029765635,0.23176804583027977,0.7597288996581505
2022-08-17,0.06961871664494905,0.037013572603857875,0.11561756258611645,0.23308680808075252,0.7588166576015399
2022-08-18,0.07038116196117032,0.03675144986105706,0.11683924781976181,0.23539376624283379,0.7572628433523211
