,sigma_last
2019-06-17,0.6822948300352379
2019-06-18,0.627369500420353
2019-06-19,0.7052636507487883
2019-06-20,0.655111171698798
2019-06-21,0.7195719002647565
2019-06-24,0.6628434781364609
2019-06-25,0.6191136240021293
2019-06-26,0.7362344665940788
2019-06-27,0.6779339225946088
2019-06-28,0.6370735594395031
2019-07-01,0.6286647341925272
2019-07-02,0.6578038196452052
2019-07-03,0.6130556801551764
2019-07-05,0.646080776223815
2019-07-08,0.6055540523092904
2019-07-09,0.6129978669701178
2019-07-10,0.5669071707441014
2019-07-11,0.5534838065753758
2019-07-12,0.5197069941910127
2019-07-15,0.5162104177832637
2019-07-16,0.484186615615372
2019-07-17,0.4932996211534299
2019-07-18,0.5677540318344847
2019-07-19,0.5436971596170592
2019-07-22,0.5960421651527142
2019-07-23,0.5594808221870647
2019-07-24,0.5885832763750933
2019-07-25,0.5728309837076718
2019-07-26,0.5956214152333842
2019-07-29,0.626513562954557
2019-07-30,0.5856474076185821
2019-07-31,0.5629502544707019
2019-08-01,0.7448032550887734
2019-08-02,0.8080144872182652
2019-08-05,0.8278567476184695
2019-08-06,1.6133726795273724
2019-08-07,1.5351673362536058
2019-08-08,1.371452347648566
2019-08-09,1.4725203023860365
2019-08-12,1.3569286201198143
2019-08-13,1.353938862393793
2019-08-14,1.382455672754363
2019-08-15,1.8726641857218636
2019-08-16,1.6668228335103943
2019-08-19,1.610408106268938
2019-08-20,1.527902926521334
2019-08-21,1.418433176053121
2019-08-22,1.3086505499295993
2019-08-23,1.1790795913107206
2019-08-26,1.6341003139689558
2019-08-27,1.5300354956749125
2019-08-28,1.3750159926267564
2019-08-29,1.2580132540820492
2019-08-30,1.250608631662382
2019-09-03,1.1202850639190591
2019-09-04,1.0654687293336784
2019-09-05,1.0639421217969791
2019-09-06,1.1059439214790354
2019-09-09,0.9931999489102237
2019-09-10,0.8935347642958279
2019-09-11,0.8084118513057968
2019-09-12,0.7894905691698508
2019-09-13,0.7213337590255645
2019-09-16,0.6606509418449261
