,mu,omega,alpha[1],beta[1],nu
2023-08-07,0.11411528290108118,0.029042662521603764,0.1832712025570445,0.8148442479337143,6.344453182512937
2023-08-08,0.11251713907955257,0.029050583614003322,0.1828647994890892,0.8150795080678225,6.3506409841782165
2023-08-09,0.1111452213288836,0.029163684752584084,0.18288270034154494,0.81486779487092,6.385958396917462
2023-08-10,0.11054027503894738,0.028984394383125764,0.1824093421580297,0.8152338376465469,6.383372367808525
2023-08-11,0.11049123427561003,0.028853375561131035,0.18256813571345581,0.8150796879741852,6.383155758061101
2023-08-14,0.11167400871250666,0.02885698225223908,0.18313758661948606,0.8145374094102447,6.3881601555146315
2023-08-15,0.11205046535838907,0.029164339336717332,0.18264349035538277,0.8150442549365494,6.386846736988235
2023-08-16,0.11232568497350923,0.02929993190237462,0.18309083922075473,0.8146287348968914,6.39332644987247
2023-08-17,0.11065700309174914,0.029398826875854076,0.18325021399711944,0.8144507794797454,6.407167424524703
2023-08-18,0.11229719317826779,0.0291589800496338,0.18269383941666906,0.8153303352149534,6.3513682460985645
2023-08-21,0.11133348115761481,0.029215489021789914,0.18278131359451796,0.8154091588454608,6.3296450021271164
2023-08-22,0.11004959809571034,0.029352232478080473,0.18251590838373924,0.8153622702152229,6.334315758739606
2023-08-23,0.11091690718268758,0.029715959947676823,0.1826495536760586,0.8148973101010671,6.373237578157728
2023-08-24,0.10971874601140619,0.030259953881551147,0.18375417348889908,0.813737711695119,6.412568117152171
2023-08-25,0.11040595093393382,0.03041204879815709,0.18371026795338888,0.8135118322759206,6.415139129360459
2023-08-28,0.11133889850750522,0.030581240973908807,0.18387177495032989,0.813159167902846,6.4090221755339165
2023-08-29,0.11132215131391884,0.030903699095708746,0.18478160231373106,0.8124021324241271,6.427364287184613
2023-08-30,0.11034727466926517,0.030853335016278804,0.18414134891543632,0.8130374690291802,6.391914637968237
2023-08-31,0.11068090371352722,0.03109300426313895,0.18414286261261836,0.8126800310899801,6.385094084131158
2023-09-01,0.1102088541122094,0.031225817390631717,0.1842134683594755,0.8125010762541766,6.3583758575677916
2023-09-05,0.11085471981697696,0.031407706294988645,0.18459095288013508,0.8121367102910007,6.3423527805371895
2023-09-06,0.11042067511133317,0.031740812484581486,0.18451537459455794,0.8118061176751853,6.375263519721533
2023-09-07,0.1105835922902561,0.03195563791437537,0.18469769891353105,0.8113939707170127,6.374018095356485
2023-09-08,0.1113306906166885,0.03208401487712518,0.18513586076095132,0.8109233358750484,6.349355507979616
2023-09-11,0.11298008959064759,0.032282102627867744,0.18546803911619295,0.8105244166338065,6.34611781864892
2023-09-12,0.11250169564479183,0.032545048040515154,0.1854133779965547,0.8102786669940899,6.368282588432197
2023-09-13,0.1122719603418721,0.032578917833795414,0.18556103627290893,0.8100154081376515,6.360769539464618
2023-09-14,0.11302489536961398,0.03286870026844545,0.18540399752611927,0.8098101826916113,6.389419324026031
2023-09-15,0.11174774736441725,0.03356203500713791,0.1852933318095542,0.8094535713257741,6.427473397397064
2023-09-18,0.11116475519316314,0.03344821752510969,0.1844739501337148,0.8101211435883727,6.40941582737872
2023-09-19,0.11092536040035333,0.0334292514507065,0.18401810377749997,0.8103495808893089,6.412184233136805
2023-09-20,0.11082873786264263,0.03372489630503456,0.18416909078464536,0.8101379442870303,6.433352717498107
2023-09-21,0.1100519832074345,0.034293784896657076,0.18529637627992254,0.8091937195787853,6.455073044679884
2023-09-22,0.10969089620148881,0.033967894498874544,0.18321166966465582,0.8108531191225669,6.466452344476314
2023-09-25,0.10917163568813143,0.033658478449621006,0.1817785129589723,0.8121800960078087,6.4535026939864615
2023-09-26,0.10902036184138762,0.033625758986345344,0.1814434728088515,0.8125353585911088,6.51750112833307
2023-09-27,0.10922981375442219,0.033129947945529516,0.17920956927069914,0.8144510987135756,6.526065761599195
2023-09-28,0.10974468406411587,0.032674666100105165,0.17740414530686618,0.8159329672305922,6.564263568898761
